51300081753,aff,153,73
51300177049,beb,200,247
51300228380,dac,277,218
51300308307,gbg,183,101
51300318686,acc,192,79
51300332745,bfc,276,68
51300367624,dcc,245,182
51300387635,abd,290,155
51300409244,ddf,268,147
51300420041,bdb,111,202
51300422714,dde,256,33
51300543919,gdb,132,205
51300620995,ebe,73,170
51300640183,aff,297,69
51300642031,gbf,280,285
51300659964,abf,286,274
51300702114,fdc,116,123
51300736819,ccf,4,191
51300749390,fcg,115,188
51300760138,ecc,175,290
51300846294,fcg,240,197
51300846869,gbd,196,90
51300870310,ade,92,241
51300886617,bca,53,20
51300893641,fae,80,16
51300901214,dcb,82,292
51300905111,ffc,71,292
51300906786,gbb,187,257
51300915585,bfb,125,129
51300925799,dbf,274,211
51300963488,bga,41,230
51300963934,fce,282,98
51301045167,aca,259,41
51301048918,aaa,117,283
51301082525,feg,194,160
51301151989,bdg,44,123
51301191702,abf,250,265
51301228759,fbf,164,60
51301246940,fba,271,60
51301251694,dee,139,184
51301295802,efb,290,174
51301311459,bff,254,12
51301319746,gdf,80,92
51301321140,gbf,244,259
51301344349,ebg,145,40
51301374799,aca,59,48
51301487300,cfc,181,250
51301505377,gdc,152,51
51301540049,bda,148,242
51301553368,fde,255,155
51301577706,fbf,238,67
51301583236,gde,259,94
51301592579,cbg,152,40
51301662576,ebf,147,85
51301664572,aaa,265,268
51301671301,efb,73,207
51301704459,gbe,172,172
51301731711,aag,98,103
51301734803,fae,288,13
51301740760,ace,154,63
51301812921,dda,69,87
51301815587,gbc,255,91
51301902675,bbb,93,30
51301905123,cdd,294,171
51301915011,eec,261,105
51301939843,fdd,178,297
51301948966,ege,258,238
51302034631,cfb,245,94
51302039766,abd,294,159
51302051154,afg,163,180
51302068539,afc,258,286
51302079738,cab,160,179
51302081641,dfb,292,191
51302089820,ead,111,128
51302090369,agb,31,239
51302129950,bdd,1,96
51302172905,ccg,244,157
51302202202,gaf,163,140
51302231850,eef,71,200
51302248988,bdb,26,202
51302252363,edd,108,109
51302282743,dgb,146,275
51302304183,gca,175,271
51302337550,cdb,281,275
51302343230,gbf,166,266
51302344156,fdg,26,13
51302366390,bcc,45,41
51302399849,acf,190,91
51302412069,cdf,8,13
51302428279,acb,151,130
51302432418,gfe,180,213
51302436289,dgf,159,171
51302482687,fad,130,38
51302483296,fac,208,157
51302503790,fdd,79,314
51302528808,efb,212,198
51302529101,bgg,35,90
51302531488,fec,158,182
51302540662,ddc,38,79
51302562296,fdg,148,14
51302571901,dcb,89,294
51302580363,ddf,77,164
51302660254,dff,240,244
51302664078,egg,117,260
51302683304,ece,16,101
51302690181,ebd,133,25
51302714716,eac,208,195
51302744396,fgg,188,52
51302753382,eaf,214,294
51302788148,cba,122,71
51302800128,dcd,271,268
51302835563,gcc,280,72
51302839756,eca,172,204
51302841055,adc,28,113
51302847428,adf,226,132
51302848424,dfd,153,136
51302858045,bbf,24,211
51302898887,fcb,225,36
51302906235,gaa,163,296
51302914297,cbc,30,221
51302918306,aee,147,211
51302929723,bag,7,119
51302949374,dac,135,209
51302950479,ffe,57,197
51302981733,aae,146,102
51303004740,add,256,74
51303013589,gfb,137,212
51303043584,gee,7,183
51303045263,fec,1,185
51303069537,ced,181,282
51303224222,aed,194,29
51303235041,bec,115,102
51303252829,efc,129,284
51303266341,gbc,197,81
51303286452,gef,273,223
51303293118,feb,24,88
